0,30,3,4,25839.965502840194
4,5,2,4,28273.471315474384
4,6,2,5,16397.283601689127
5,7,2,4,37933.72748708533
5,8,2,5,22370.81988534292
8,3,2,5,18749.139015294702
8,3,2,6,18596.92034448383
8,3,2,5,18749.139015294702
8,3,2,6,18596.92034448383
8,7,2,5,26087.39827435043
8,9,2,4,24615.677250150566
8,17,2,6,9629.306320068106
9,13,2,6,27278.202402295505
9,14,2,5,24639.641890237323
10,5,2,6,8295.41750499233
10,8,2,3,16368.65691105146
10,17,2,4,22015.399264235304
11,4,2,5,71096.53454049178
11,19,2,6,11318.687391795058
11,23,2,4,121919.17269523033
12,5,2,4,12864.580735967742
12,14,2,4,41061.449757740156
12,14,2,5,12737.514244078975
12,14,2,6,191352.71599324176
12,14,2,4,41061.449757740156
12,14,2,5,12737.514244078975
12,14,2,6,191352.71599324176
12,14,2,4,41061.449757740156
12,14,2,5,12737.514244078975
12,14,2,6,191352.71599324176
12,20,2,4,14384.758514806033
13,13,2,6,12170.894358732083
13,20,2,4,10966.329771082785
14,6,2,5,11057.705664627021
14,18,2,6,40217.357192725445
14,19,2,6,80226.44772505137
15,12,2,0,10366.235411775508
15,13,2,4,11433.867534149422
15,19,2,5,20945.996493866234
16,4,2,5,13329.682106596167
16,14,2,5,18255.632582032238
16,16,2,4,12972.417889640694
16,19,2,6,139345.36563548647
17,5,2,4,11698.446812404667
17,15,2,6,45114.1858646295
18,21,2,5,23026.487579224093
19,14,2,3,8496.073934910657
19,19,2,5,18641.026849314283
19,21,2,4,116446.98934614052
19,25,2,4,11009.301570462032
20,15,2,5,9058.945185344051
20,15,2,6,11157.944785559994
20,15,2,5,9058.945185344051
20,15,2,6,11157.944785559994
20,18,2,4,77933.13903853243
20,25,2,5,24387.0903500284
21,15,2,4,29404.59001532611
21,16,2,6,11810.791049896583
22,23,2,6,12829.43736081525
23,18,2,3,10439.850913391834
23,18,2,4,9775.413530911512
23,18,2,3,10439.850913391834
23,18,2,4,9775.413530911512
23,27,2,4,10071.011620673245
24,11,2,6,33158.299526628034
24,15,2,1,8390.09471630564
24,15,2,2,11272.454496740507
24,15,2,4,15157.014045389315
24,15,2,1,8390.09471630564
24,15,2,2,11272.454496740507
24,15,2,4,15157.014045389315
24,15,2,1,8390.09471630564
24,15,2,2,11272.454496740507
24,15,2,4,15157.014045389315
24,16,2,6,41067.5993904712
25,22,2,5,8020.484847476375
27,16,2,6,40293.02091957167
